date,S_USDJPY,S_USDTRY,S_TRYJPY,PPP_JPY,PPP_TRY,PPP_changed,d_USDJPY,d_USDTRY,m_USD,m_JPY,m_TRY,D_mTRY,pct_TRYJPY
2023-01,130.34,18.78,6.940362087326943,92.84,8.074,YES,0.33926883949799796,0.8441434513493679,0.39447076361578864,0.055201924117790645,-0.44967268773357927,0.3053018376536393,-4.105976493815755
2023-02,133.09,18.85,7.060477453580901,92.84,8.074,NO,0.3601480096922285,0.8478638914632707,0.4026706337184997,0.04252262402627124,-0.445193257744771,0.004479429988808292,1.7306786698245702
2023-03,133.63,18.99,7.0368615060558195,92.84,8.074,NO,0.36419720538673317,0.8552635023934454,0.4064869025933929,0.042289697206659684,-0.4487765998000525,-0.0035833420552815465,-0.3344808857523418
2023-04,133.45,19.34,6.900206825232678,92.84,8.074,NO,0.3628492944442967,0.8735264675943991,0.4121252540128986,0.0492759595686019,-0.4614012135815005,-0.012624613781447969,-1.9419833786062046
2023-05,135.87,19.74,6.882978723404256,92.84,8.074,NO,0.3808209648299959,0.8939980115745864,0.42493965880152745,0.04411869397153153,-0.46905835277305896,-0.007657139191558471,-0.24967515126389506
2023-06,141.43,23.54,6.008071367884453,92.84,8.074,NO,0.4209273136261722,1.0700520794013815,0.4969931310091846,0.07606581738301237,-0.573058948392197,-0.10400059561913799,-12.711173325944591
2023-07,141.25,26.43,5.344305713204692,92.84,8.074,NO,0.41965378862031405,1.1858507061854486,0.5351681649352542,0.11551437631494017,-0.6506825412501944,-0.07762359285799747,-11.047898968508497
2023-08,145.31,26.92,5.397845468053491,92.84,8.074,NO,0.44799180992636817,1.204220482345778,0.5507374307573821,0.1027456208310139,-0.6534830515883959,-0.0028005103382015006,1.0018093597548683
2023-09,147.59,26.99,5.468321600592812,92.84,8.074,NO,0.46356057778744814,1.2068174045991642,0.5567926607955375,0.09323208300808931,-0.6500247438036267,0.003458307784769188,1.3056344972531386
2023-10,149.53,27.86,5.367193108399139,92.84,8.074,NO,0.476619460189516,1.2385429459209105,0.5717208020368089,0.09510134184729284,-0.6668221438841017,-0.016797400080474922,-1.8493515850038889
2023-11,151.65,28.65,5.293193717277488,92.84,8.074,NO,0.49069765272835386,1.2665044207299994,0.5857340244861177,0.09503637175776387,-0.6807703962438816,-0.013948252359779922,-1.3787353953381931
2023-12,142.81,29.09,4.909247163973874,92.84,8.074,NO,0.43063749405860546,1.2817454500763612,0.5707943147116555,0.1401568206530501,-0.7109511353647057,-0.030180739120824085,-7.253589681601403
2024-01,145.97,30.07,4.8543398736282,93.2,12.55,YES,0.4486533994509412,0.8738073314226448,0.4408202436245287,-0.00783315582641253,-0.4329870877981161,0.27796404756658954,-1.1184462405683382
2024-02,149.51,30.78,4.857374918778427,93.2,12.55,NO,0.4726155585342908,0.8971444628329401,0.45658667378907697,-0.01602888474521384,-0.44055778904386317,-0.007570701245747047,0.062522304355217
2024-03,149.72,32.03,4.674367780206056,93.2,12.55,NO,0.47401916134468264,0.936952298043274,0.47032381979598553,-0.0036953415486971064,-0.4666284782472884,-0.026070689203425257,-3.7676140226456822
2024-04,153.84,32.37,4.752548656163114,93.2,12.55,NO,0.5011653795889788,0.94751140236036,0.48289226064977964,-0.018273118939199178,-0.46461914171058044,0.002009336536707984,1.672544387459629
2024-05,155.77,32.26,4.828580285182889,93.2,12.55,NO,0.513632838646969,0.9441074071192699,0.48591341525541293,-0.027719423391556013,-0.4581939918638569,0.0064251498467235435,1.5998074826898856
2024-06,157.98,32.59,4.847499232893525,93.2,12.55,NO,0.5277207210447274,0.9542848272716773,0.4940018494388016,-0.03371887160592587,-0.4602829778328757,-0.0020889859690187973,0.39181180788669945
2024-07,157.91,32.91,4.798237617745366,93.2,12.55,NO,0.5272775287870063,0.9640558973774555,0.4971111420548206,-0.030166386732185708,-0.4669447553226349,-0.006661777489759213,-1.0162273944034017
2024-08,146.33,33.68,4.344714964370547,93.2,12.55,NO,0.4511166234127897,0.9871835237963331,0.47943338240304095,0.02831675899025125,-0.5077501413932922,-0.04080538607065731,-9.451858984589522
2024-09,143.15,34.06,4.202877275396359,93.2,12.55,NO,0.4291453098525786,0.9984030096567494,0.47584943983644273,0.046704129983864084,-0.5225535698203068,-0.014803428427014542,-3.2646028597352883
2024-10,149.67,34.26,4.368651488616462,93.2,12.55,NO,0.47368514884951,1.0042578273181808,0.4926476587225636,0.01896250987305359,-0.5116101685956173,0.010943401224689508,3.9443029705041655
2024-11,153.5,34.46,4.454439930354034,93.2,12.55,NO,0.4989528453357063,1.0100785655219906,0.503010470285899,0.004057624950192684,-0.5070680952360916,0.004542073359525611,1.9637282113511123
2024-12,153.8,34.99,4.395541583309517,93.2,12.55,NO,0.5009053353799982,1.0253416408018037,0.5087489920606006,0.007843656680602459,-0.516592648741203,-0.009524553505111388,-1.3222391134554035
2025-01,156.69,35.52,4.4113175675675675,93.52,16.51,YES,0.5160940139525041,0.7661296601919326,0.42740789138147894,-0.08868612257102519,-0.33872176881045374,0.1778708799307493,0.3589087706041576
2025-02,151.86,36.17,4.198507050041471,93.52,16.51,NO,0.4847837266212749,0.7842637880319698,0.42301583821774824,-0.06176788840352665,-0.3612479498142216,-0.022526181003767853,-4.8241940025061965
2025-03,149.18,37.09,4.022108385009436,93.52,16.51,NO,0.46697831336320433,0.8093811335694628,0.4254531489775557,-0.04152516438564861,-0.3839279845919071,-0.022680034777685487,-4.201461684583625
2025-04,144.35,38.13,3.7857330186205083,93.52,16.51,NO,0.4340655889451312,0.8370351159374357,0.4237002349608556,-0.010365353984275552,-0.41333488097658005,-0.029406896384672976,-5.876901956941503
2025-05,144.71,38.83,3.7267576616018547,93.52,16.51,NO,0.43655642258608846,0.8552268858115392,0.4305944361325425,-0.005961986453545916,-0.4246324496789966,-0.01129756870241655,-1.5578319107178797
2025-06,144.58,39.48,3.66210739614995,93.52,16.51,NO,0.43565767040833825,0.8718279566332441,0.43582854234719415,0.0001708719388558618,-0.43599941428605,-0.011366964607053387,-1.734759040493029
2025-07,146.81,40.24,3.6483598409542743,93.52,16.51,NO,0.4509639165875561,0.8908952678594471,0.44728639481566773,-0.0036775217718883666,-0.44360887304377933,-0.007609458757729337,-0.37540011006036306
2025-08,147.51,40.86,3.610132158590308,93.52,16.51,NO,0.45572065292814473,0.9061853314574392,0.45396866146186127,-0.0017519914662834275,-0.45221666999557786,-0.00860779695179853,-1.0478046034507194
2025-09,147.95,41.35,3.5779927448609428,93.52,16.51,NO,0.45869906168240565,0.9181061635376636,0.45893507507335646,0.00023601339095076965,-0.4591710884643072,-0.006954418468729351,-0.8902558775553306
2025-10,151.09,41.85,3.610274790919952,93.52,16.51,NO,0.4797003685879367,0.9301255390034477,0.4699419691971281,-0.009758399390808544,-0.46018356980631964,-0.001012481342012428,0.902239002730679
2025-11,154.34,42.2,3.6573459715639807,93.52,16.51,NO,0.5009826438656441,0.9384539631099295,0.4798122023251912,-0.02117044154045289,-0.45864176078473823,0.0015418090215814084,1.3038115758505475
